wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0,6664,0,5054,16521,2024-05-13 22:04:25
1,2,0.5,6665,1,5055,16523,2024-05-14 09:11:01
6,12,0.5,6686,21,5061,16535,2024-05-15 06:00:01
7,20,0.35,6666,-20,5068,16555,2024-05-16 06:00:02
9,18,0.5,6661,-5,5077,16573,2024-05-20 06:00:01
2,10,0.2,6631,-30,5079,16583,2024-05-24 06:00:02
5,14,0.36,6616,-15,5084,16597,2024-05-26 06:00:01
4,16,0.25,6602,-14,5088,16613,2024-05-27 06:00:02
3,11,0.27,6588,-14,5091,16624,2024-05-30 06:00:01
3,13,0.23,6566,-22,5094,16637,2024-05-31 06:00:02
2,4,0.5,6568,2,5096,16641,2024-06-26 06:00:01
5,14,0.36,6550,-18,5101,16655,2024-06-27 06:00:02
6,12,0.5,6559,9,5107,16667,2024-06-29 12:33:36
5,19,0.26,6533,-26,5112,16686,2024-06-30 06:00:02
5,16,0.31,6515,-18,5117,16702,2024-07-01 06:00:02
10,27,0.37,6513,-2,5127,16729,2024-07-08 06:00:02
17,55,0.31,6502,-11,5144,16784,2024-07-09 09:20:56
36,83,0.43,6528,26,5180,16867,2024-07-10 06:00:01
8,15,0.53,6536,8,5188,16882,2024-07-11 06:00:01
11,52,0.21,6458,-78,5199,16934,2024-07-12 06:00:02
35,95,0.37,6503,45,5234,17029,2024-07-14 12:38:45
5,26,0.19,6441,-62,5239,17055,2024-07-15 11:16:16
7,17,0.41,6450,9,5246,17072,2024-07-17 06:00:02
1,6,0.17,6442,-8,5247,17078,2024-07-20 05:00:01
11,43,0.26,6374,-68,5258,17121,2024-07-23 06:00:01
23,83,0.28,6270,-104,5281,17204,2024-07-24 05:00:02
11,46,0.24,6221,-49,5292,17250,2024-07-25 05:00:02
10,27,0.37,6236,15,5302,17277,2024-07-25 11:20:51
14,38,0.37,6226,-10,5316,17315,2024-07-26 05:00:01
1,6,0.17,6218,-8,5317,17321,2024-07-27 05:00:01
28,77,0.36,6263,45,5345,17398,2024-07-28 05:00:01
55,153,0.36,6329,66,5400,17551,2024-07-29 05:00:01
8,27,0.3,6317,-12,5408,17578,2024-07-30 05:00:02
21,45,0.47,6427,110,5429,17623,2024-07-31 05:00:01
16,40,0.4,6452,25,5445,17663,2024-08-01 06:00:02
18,51,0.35,6492,40,5463,17714,2024-08-02 05:00:01
23,67,0.34,6481,-11,5486,17781,2024-08-03 05:00:01
20,45,0.44,6536,55,5506,17826,2024-08-04 11:34:56
4,12,0.33,6515,-21,5510,17838,2024-08-05 08:57:09
19,45,0.42,6536,21,5529,17883,2024-08-06 05:00:02
17,37,0.46,6559,23,5546,17920,2024-08-08 06:00:02
14,38,0.37,6530,-29,5560,17958,2024-08-09 05:00:01
44,89,0.49,6597,67,5604,18047,2024-08-11 06:00:01
7,27,0.26,6542,-55,5611,18074,2024-08-16 05:00:01
10,32,0.31,6517,-25,5621,18106,2024-08-17 05:00:01
22,59,0.37,6506,-11,5643,18165,2024-08-18 05:00:01
3,12,0.25,6482,-24,5646,18177,2024-08-19 05:00:02
3,13,0.23,6459,-23,5649,18190,2024-08-20 06:00:01
2,4,0.5,6471,12,5651,18194,2024-08-30 05:00:02
2,6,0.33,6469,-2,5653,18200,2024-09-01 05:00:01
1,8,0.12,6433,-36,5654,18208,2024-09-08 06:00:02
0,3,0.0,6424,-9,5654,18211,2024-09-10 05:00:02
15,33,0.45,6482,58,5669,18244,2024-09-16 05:00:01
25,67,0.37,6482,0,5694,18311,2024-09-18 05:00:01
4,11,0.36,6464,-18,5698,18322,2024-09-19 05:00:01
