wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0,6639,0,6738,19255,2024-07-25 11:20:51
55,129,0.43,6663,24,6793,19384,2024-07-26 05:00:01
55,125,0.44,6692,29,6848,19509,2024-07-27 05:00:01
36,119,0.3,6564,-128,6884,19628,2024-07-28 05:00:01
3,17,0.18,6546,-18,6887,19645,2024-07-28 06:00:02
113,318,0.36,6421,-125,7000,19963,2024-07-29 05:00:01
60,158,0.38,6502,81,7060,20121,2024-07-30 05:00:02
51,162,0.31,6479,-23,7111,20283,2024-07-31 05:00:01
6,12,0.5,6480,1,7117,20295,2024-08-01 06:00:02
49,139,0.35,6423,-57,7166,20434,2024-08-02 05:00:01
37,108,0.34,6511,88,7203,20542,2024-08-03 05:00:01
5,13,0.38,6515,4,7208,20555,2024-08-03 06:00:02
10,21,0.48,6540,25,7218,20576,2024-08-04 11:34:56
138,307,0.45,6660,120,7356,20883,2024-08-05 08:57:09
57,146,0.39,6655,-5,7413,21029,2024-08-06 05:00:02
4,18,0.22,6632,-23,7417,21047,2024-08-06 06:00:01
85,171,0.5,6755,123,7502,21218,2024-08-08 06:00:02
18,34,0.53,6808,53,7520,21252,2024-08-09 05:00:01
144,347,0.41,6706,-102,7664,21599,2024-08-11 06:00:01
121,284,0.43,6710,4,7785,21883,2024-08-12 05:00:01
71,162,0.44,6735,25,7856,22045,2024-08-14 05:00:01
94,204,0.46,6804,69,7950,22249,2024-08-15 06:00:01
82,177,0.46,6818,14,8032,22426,2024-08-16 05:00:01
4,6,0.67,6825,7,8036,22432,2024-08-16 06:00:01
136,257,0.53,6957,132,8172,22689,2024-08-18 05:00:01
12,19,0.63,6976,19,8184,22708,2024-08-18 06:00:01
106,261,0.41,6872,-104,8290,22969,2024-08-19 05:00:02
13,18,0.72,6913,41,8303,22987,2024-08-19 06:00:01
39,68,0.57,7000,87,8342,23055,2024-08-20 06:00:01
44,98,0.45,7052,52,8386,23153,2024-08-21 05:00:01
100,233,0.43,6909,-143,8486,23386,2024-08-23 05:00:01
24,69,0.35,6763,-146,8510,23455,2024-08-24 06:00:01
38,77,0.49,6763,0,8548,23532,2024-08-25 05:00:01
88,188,0.47,6782,19,8636,23720,2024-08-28 05:00:02
9,13,0.69,6800,18,8645,23733,2024-08-29 05:00:01
28,57,0.49,6832,32,8673,23790,2024-09-02 05:00:02
54,118,0.46,6868,36,8727,23908,2024-09-03 05:00:02
38,72,0.53,6916,48,8765,23980,2024-09-05 05:00:01
47,87,0.54,6963,47,8812,24067,2024-09-06 05:00:01
8,16,0.5,6960,-3,8820,24083,2024-09-06 06:00:02
15,40,0.38,6904,-56,8835,24123,2024-09-08 06:00:02
13,42,0.31,6826,-78,8848,24165,2024-09-11 05:00:01
57,110,0.52,6822,-4,8905,24275,2024-09-13 05:00:02
11,12,0.92,6845,23,8916,24287,2024-09-13 06:00:02
26,55,0.47,6815,-30,8942,24342,2024-09-16 05:00:01
