wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0.0,5389,0,2727,10002,2024-05-08 21:49:28
12,44,0.27,5468,79,2739,10046,2024-06-02 06:00:02
9,28,0.32,5532,64,2748,10074,2024-06-03 06:00:02
24,87,0.28,5528,-4,2772,10161,2024-06-10 22:24:48
0,2,0.0,5511,-17,2772,10163,2024-06-11 10:03:09
13,53,0.25,5495,-16,2785,10216,2024-06-16 06:00:01
12,28,0.43,5590,95,2797,10244,2024-06-24 06:00:02
27,91,0.3,5648,58,2824,10335,2024-07-04 06:00:01
16,41,0.39,5725,77,2840,10376,2024-07-10 06:00:01
14,53,0.26,5676,-49,2854,10429,2024-07-14 12:38:45
11,26,0.42,5733,57,2865,10455,2024-07-22 05:00:02
3,11,0.27,5740,7,2868,10466,2024-08-10 06:00:01
18,52,0.35,5807,67,2886,10518,2024-08-15 06:00:01
10,39,0.26,5767,-40,2896,10557,2024-08-16 05:00:01
6,15,0.4,5785,18,2902,10572,2024-10-25 05:00:02
9,38,0.24,5738,-47,2911,10610,2024-10-29 05:00:02
7,19,0.37,5772,34,2918,10629,2024-10-30 05:00:02
0,4,0.0,5750,-22,2918,10633,2024-11-05 05:00:01
9,24,0.38,5793,43,2927,10657,2024-11-06 06:00:01
0,0,0.0,5793,0,2927,10657,2025-06-20 21:14:44
0,0,0.0,5793,0,2927,10657,2025-06-21 21:13:48
0,0,0.0,5793,0,2927,10657,2025-06-23 21:13:21
0,0,0.0,5793,0,2927,10657,2025-06-24 21:13:15
0,0,0.0,5793,0,2927,10657,2025-06-25 21:13:10
0,0,0.0,5793,0,2927,10657,2025-06-26 21:13:16
