wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0.0,6424,0,5482,15553,2024-05-08 21:49:28
21,48,0.44,6500,76,5503,15601,2024-09-21 05:00:01
32,81,0.4,6530,30,5535,15682,2024-09-22 06:00:02
12,34,0.35,6531,1,5547,15716,2024-09-23 05:00:02
20,47,0.43,6535,4,5567,15763,2024-09-24 05:00:01
30,70,0.43,6544,9,5597,15833,2024-09-25 05:00:01
19,51,0.37,6535,-9,5616,15884,2024-09-26 06:00:02
19,53,0.36,6519,-16,5635,15937,2024-09-27 05:00:02
1,6,0.17,6499,-20,5636,15943,2024-09-28 05:00:01
7,29,0.24,6456,-43,5643,15972,2024-09-29 05:00:02
17,66,0.26,6390,-66,5660,16038,2024-09-30 05:00:01
13,29,0.45,6414,24,5673,16067,2024-10-01 05:00:01
8,27,0.3,6395,-19,5681,16094,2024-10-02 05:00:01
6,21,0.29,6370,-25,5687,16115,2024-10-03 06:00:01
1,8,0.12,6348,-22,5688,16123,2024-10-05 05:00:01
18,49,0.37,6368,20,5706,16172,2024-10-06 05:00:02
7,13,0.54,6401,33,5713,16185,2024-10-07 06:00:02
1,6,0.17,6374,-27,5714,16191,2024-10-10 05:00:02
1,7,0.14,6338,-36,5715,16198,2024-10-11 06:00:01
2,5,0.4,6343,5,5717,16203,2024-10-14 05:00:02
21,54,0.39,6386,43,5738,16257,2024-10-15 05:00:02
7,17,0.41,6392,6,5745,16274,2024-10-16 05:00:02
4,16,0.25,6371,-21,5749,16290,2024-10-19 06:00:02
2,9,0.22,6354,-17,5751,16299,2024-10-21 05:00:01
22,53,0.42,6385,31,5773,16352,2024-10-28 05:00:02
0,1,0.0,6383,-2,5773,16353,2024-11-05 05:00:01
6,16,0.38,6387,4,5779,16369,2024-11-12 05:00:01
0,0,0.0,6387,0,5779,16369,2025-06-20 21:14:42
0,0,0.0,6387,0,5779,16369,2025-06-21 21:13:46
0,0,0.0,6387,0,5779,16369,2025-06-23 21:13:18
0,0,0.0,6387,0,5779,16369,2025-06-24 21:13:13
0,0,0.0,6387,0,5779,16369,2025-06-25 21:13:08
0,0,0.0,6387,0,5779,16369,2025-06-26 21:13:14
0,0,0.0,6387,0,5779,16369,2025-06-27 21:12:10
0,0,0.0,6387,0,5779,16369,2025-06-28 21:12:00
